SeasonID,RaceID,DriverID,Color
2021,202101,1.0,#00D2BE
2021,202101,2.0,#0600EF
2021,202101,3.0,#00D2BE
2021,202101,4.0,#FF9800
2021,202101,5.0,#0600EF
2021,202101,6.0,#DC0004
2021,202101,7.0,#FF9800
2021,202101,8.0,#DC0004
2021,202101,9.0,#2B4562
2021,202101,10.0,#006F62
2021,202101,11.0,#900000
2021,202101,12.0,#900000
2021,202101,13.0,#0090FF
2021,202101,14.0,#005AFF
2021,202101,15.0,#006F62
2021,202101,16.0,#505050
2021,202101,17.0,#2B4562
2021,202101,18.0,#005AFF
2021,202101,19.0,#0090FF
2021,202101,20.0,#505050
2021,202102,2.0,#0600EF
2021,202102,1.0,#00D2BE
2021,202102,4.0,#FF9800
2021,202102,6.0,#DC0004
2021,202102,8.0,#DC0004
2021,202102,7.0,#FF9800
2021,202102,17.0,#2B4562
2021,202102,10.0,#006F62
2021,202102,13.0,#0090FF
2021,202102,19.0,#0090FF
2021,202102,5.0,#0600EF
2021,202102,9.0,#2B4562
2021,202102,11.0,#900000
2021,202102,12.0,#900000
2021,202102,15.0,#006F62
2021,202102,16.0,#505050
2021,202102,20.0,#505050
2021,202102,3.0,#00D2BE
2021,202102,14.0,#005AFF
2021,202102,18.0,#005AFF
2021,202103,1.0,#00D2BE
2021,202103,2.0,#0600EF
2021,202103,3.0,#00D2BE
2021,202103,5.0,#0600EF
2021,202103,4.0,#FF9800
2021,202103,6.0,#DC0004
2021,202103,13.0,#0090FF
2021,202103,19.0,#0090FF
2021,202103,7.0,#FF9800
2021,202103,17.0,#2B4562
2021,202103,8.0,#DC0004
2021,202103,12.0,#900000
2021,202103,15.0,#006F62
2021,202103,10.0,#006F62
2021,202103,9.0,#2B4562
2021,202103,14.0,#005AFF
2021,202103,16.0,#505050
2021,202103,18.0,#005AFF
2021,202103,20.0,#505050
2021,202103,11.0,#900000
2021,202104,1.0,#00D2BE
2021,202104,2.0,#0600EF
2021,202104,3.0,#00D2BE
2021,202104,6.0,#DC0004
2021,202104,5.0,#0600EF
2021,202104,7.0,#FF9800
2021,202104,8.0,#DC0004
2021,202104,4.0,#FF9800
2021,202104,13.0,#0090FF
2021,202104,17.0,#2B4562
2021,202104,10.0,#006F62
2021,202104,11.0,#900000
2021,202104,15.0,#006F62
2021,202104,14.0,#005AFF
2021,202104,12.0,#900000
2021,202104,18.0,#005AFF
2021,202104,19.0,#0090FF
2021,202104,16.0,#505050
2021,202104,20.0,#505050
2021,202104,9.0,#2B4562
2021,202105,2.0,#0600EF
2021,202105,8.0,#DC0004
2021,202105,4.0,#FF9800
2021,202105,5.0,#0600EF
2021,202105,15.0,#006F62
2021,202105,17.0,#2B4562
2021,202105,1.0,#00D2BE
2021,202105,10.0,#006F62
2021,202105,13.0,#0090FF
2021,202105,12.0,#900000
2021,202105,11.0,#900000
2021,202105,7.0,#FF9800
2021,202105,19.0,#0090FF
2021,202105,14.0,#005AFF
2021,202105,18.0,#005AFF
2021,202105,9.0,#2B4562
2021,202105,20.0,#505050
2021,202105,16.0,#505050
2021,202105,3.0,#00D2BE
2021,202105,6.0,#DC0004
2021,202106,5.0,#0600EF
2021,202106,15.0,#006F62
2021,202106,17.0,#2B4562
2021,202106,6.0,#DC0004
2021,202106,4.0,#FF9800
2021,202106,19.0,#0090FF
2021,202106,9.0,#2B4562
2021,202106,8.0,#DC0004
2021,202106,7.0,#FF9800
2021,202106,11.0,#900000
2021,202106,12.0,#900000
2021,202106,3.0,#00D2BE
2021,202106,16.0,#505050
2021,202106,20.0,#505050
2021,202106,1.0,#00D2BE
2021,202106,18.0,#005AFF
2021,202106,14.0,#005AFF
2021,202106,2.0,#0600EF
2021,202106,10.0,#006F62
2021,202106,13.0,#0090FF
2021,202107,2.0,#0600EF
2021,202107,1.0,#00D2BE
2021,202107,5.0,#0600EF
2021,202107,3.0,#00D2BE
2021,202107,4.0,#FF9800
2021,202107,7.0,#FF9800
2021,202107,17.0,#2B4562
2021,202107,19.0,#0090FF
2021,202107,15.0,#006F62
2021,202107,10.0,#006F62
2021,202107,8.0,#DC0004
2021,202107,14.0,#005AFF
2021,202107,9.0,#2B4562
2021,202107,13.0,#0090FF
2021,202107,12.0,#900000
2021,202107,6.0,#DC0004
2021,202107,11.0,#900000
2021,202107,18.0,#005AFF
2021,202107,16.0,#505050
2021,202107,20.0,#505050
2021,202108,2.0,#0600EF
2021,202108,1.0,#00D2BE
2021,202108,3.0,#00D2BE
2021,202108,5.0,#0600EF
2021,202108,4.0,#FF9800
2021,202108,8.0,#DC0004
2021,202108,6.0,#DC0004
2021,202108,10.0,#006F62
2021,202108,19.0,#0090FF
2021,202108,9.0,#2B4562
2021,202108,11.0,#900000
2021,202108,15.0,#006F62
2021,202108,7.0,#FF9800
2021,202108,13.0,#0090FF
2021,202108,12.0,#900000
2021,202108,16.0,#505050
2021,202108,18.0,#005AFF
2021,202108,20.0,#505050
2021,202108,14.0,#005AFF
2021,202108,17.0,#2B4562
2021,202109,2.0,#0600EF
2021,202109,3.0,#00D2BE
2021,202109,4.0,#FF9800
2021,202109,1.0,#00D2BE
2021,202109,8.0,#DC0004
2021,202109,5.0,#0600EF
2021,202109,7.0,#FF9800
2021,202109,6.0,#DC0004
2021,202109,17.0,#2B4562
2021,202109,19.0,#0090FF
2021,202109,14.0,#005AFF
2021,202109,9.0,#2B4562
2021,202109,10.0,#006F62
2021,202109,12.0,#900000
2021,202109,11.0,#900000
2021,202109,18.0,#005AFF
2021,202109,15.0,#006F62
2021,202109,16.0,#505050
2021,202109,20.0,#505050
2021,202109,13.0,#0090FF
2021,202110,1.0,#00D2BE
2021,202110,6.0,#DC0004
2021,202110,3.0,#00D2BE
2021,202110,4.0,#FF9800
2021,202110,7.0,#FF9800
2021,202110,8.0,#DC0004
2021,202110,19.0,#0090FF
2021,202110,10.0,#006F62
2021,202110,13.0,#0090FF
2021,202110,9.0,#2B4562
2021,202110,17.0,#2B4562
2021,202110,14.0,#005AFF
2021,202110,12.0,#900000
2021,202110,18.0,#005AFF
2021,202110,11.0,#900000
2021,202110,5.0,#0600EF
2021,202110,20.0,#505050
2021,202110,16.0,#505050
2021,202110,15.0,#006F62
2021,202110,2.0,#0600EF
2021,202111,13.0,#0090FF
2021,202111,1.0,#00D2BE
2021,202111,8.0,#DC0004
2021,202111,19.0,#0090FF
2021,202111,17.0,#2B4562
2021,202111,9.0,#2B4562
2021,202111,18.0,#005AFF
2021,202111,14.0,#005AFF
2021,202111,2.0,#0600EF
2021,202111,11.0,#900000
2021,202111,7.0,#FF9800
2021,202111,16.0,#505050
2021,202111,12.0,#900000
2021,202111,20.0,#505050
2021,202111,4.0,#FF9800
2021,202111,3.0,#00D2BE
2021,202111,5.0,#0600EF
2021,202111,6.0,#DC0004
2021,202111,10.0,#006F62
2021,202111,15.0,#006F62
2021,202112,2.0,#0600EF
2021,202112,14.0,#005AFF
2021,202112,1.0,#00D2BE
2021,202112,7.0,#FF9800
2021,202112,15.0,#006F62
2021,202112,17.0,#2B4562
2021,202112,13.0,#0090FF
2021,202112,6.0,#DC0004
2021,202112,18.0,#005AFF
2021,202112,8.0,#DC0004
2021,202112,19.0,#0090FF
2021,202112,3.0,#00D2BE
2021,202112,12.0,#900000
2021,202112,4.0,#FF9800
2021,202112,9.0,#2B4562
2021,202112,16.0,#505050
2021,202112,20.0,#505050
2021,202112,11.0,#900000
2021,202112,5.0,#0600EF
2021,202112,10.0,#006F62
2021,202113,2.0,#0600EF
2021,202113,1.0,#00D2BE
2021,202113,3.0,#00D2BE
2021,202113,17.0,#2B4562
2021,202113,6.0,#DC0004
2021,202113,19.0,#0090FF
2021,202113,8.0,#DC0004
2021,202113,5.0,#0600EF
2021,202113,13.0,#0090FF
2021,202113,4.0,#FF9800
2021,202113,7.0,#FF9800
2021,202113,10.0,#006F62
2021,202113,15.0,#006F62
2021,202113,12.0,#900000
2021,202113,21.0,#900000
2021,202113,18.0,#005AFF
2021,202113,14.0,#005AFF
2021,202113,16.0,#505050
2021,202113,9.0,#2B4562
2021,202113,20.0,#505050
2021,202114,7.0,#FF9800
2021,202114,4.0,#FF9800
2021,202114,3.0,#00D2BE
2021,202114,6.0,#DC0004
2021,202114,5.0,#0600EF
2021,202114,8.0,#DC0004
2021,202114,10.0,#006F62
2021,202114,19.0,#0090FF
2021,202114,14.0,#005AFF
2021,202114,13.0,#0090FF
2021,202114,18.0,#005AFF
2021,202114,15.0,#006F62
2021,202114,12.0,#900000
2021,202114,21.0,#900000
2021,202114,16.0,#505050
2021,202114,20.0,#505050
2021,202114,1.0,#00D2BE
2021,202114,2.0,#0600EF
2021,202114,17.0,#2B4562
2021,202114,9.0,#2B4562
2021,202115,1.0,#00D2BE
2021,202115,2.0,#0600EF
2021,202115,8.0,#DC0004
2021,202115,7.0,#FF9800
2021,202115,3.0,#00D2BE
2021,202115,19.0,#0090FF
2021,202115,4.0,#FF9800
2021,202115,11.0,#900000
2021,202115,5.0,#0600EF
2021,202115,14.0,#005AFF
2021,202115,10.0,#006F62
2021,202115,15.0,#006F62
2021,202115,17.0,#2B4562
2021,202115,13.0,#0090FF
2021,202115,6.0,#DC0004
2021,202115,12.0,#900000
2021,202115,9.0,#2B4562
2021,202115,20.0,#505050
2021,202115,18.0,#005AFF
2021,202115,16.0,#505050
2021,202116,3.0,#00D2BE
2021,202116,2.0,#0600EF
2021,202116,5.0,#0600EF
2021,202116,6.0,#DC0004
2021,202116,1.0,#00D2BE
2021,202116,17.0,#2B4562
2021,202116,4.0,#FF9800
2021,202116,8.0,#DC0004
2021,202116,10.0,#006F62
2021,202116,13.0,#0090FF
2021,202116,12.0,#900000
2021,202116,11.0,#900000
2021,202116,7.0,#FF9800
2021,202116,9.0,#2B4562
2021,202116,14.0,#005AFF
2021,202116,19.0,#0090FF
2021,202116,18.0,#005AFF
2021,202116,15.0,#006F62
2021,202116,16.0,#505050
2021,202116,20.0,#505050
2021,202117,2.0,#0600EF
2021,202117,1.0,#00D2BE
2021,202117,5.0,#0600EF
2021,202117,6.0,#DC0004
2021,202117,7.0,#FF9800
2021,202117,3.0,#00D2BE
2021,202117,8.0,#DC0004
2021,202117,4.0,#FF9800
2021,202117,9.0,#2B4562
2021,202117,15.0,#006F62
2021,202117,12.0,#900000
2021,202117,10.0,#006F62
2021,202117,11.0,#900000
2021,202117,14.0,#005AFF
2021,202117,18.0,#005AFF
2021,202117,16.0,#505050
2021,202117,20.0,#505050
2021,202117,19.0,#0090FF
2021,202117,13.0,#0090FF
2021,202117,17.0,#2B4562
2021,202118,2.0,#0600EF
2021,202118,1.0,#00D2BE
2021,202118,5.0,#0600EF
2021,202118,17.0,#2B4562
2021,202118,6.0,#DC0004
2021,202118,8.0,#DC0004
2021,202118,15.0,#006F62
2021,202118,11.0,#900000
2021,202118,19.0,#0090FF
2021,202118,4.0,#FF9800
2021,202118,12.0,#900000
2021,202118,7.0,#FF9800
2021,202118,13.0,#0090FF
2021,202118,10.0,#006F62
2021,202118,3.0,#00D2BE
2021,202118,14.0,#005AFF
2021,202118,18.0,#005AFF
2021,202118,20.0,#505050
2021,202118,16.0,#505050
2021,202118,9.0,#2B4562
2021,202119,1.0,#00D2BE
2021,202119,2.0,#0600EF
2021,202119,3.0,#00D2BE
2021,202119,5.0,#0600EF
2021,202119,6.0,#DC0004
2021,202119,8.0,#DC0004
2021,202119,17.0,#2B4562
2021,202119,13.0,#0090FF
2021,202119,19.0,#0090FF
2021,202119,4.0,#FF9800
2021,202119,15.0,#006F62
2021,202119,11.0,#900000
2021,202119,14.0,#005AFF
2021,202119,12.0,#900000
2021,202119,9.0,#2B4562
2021,202119,18.0,#005AFF
2021,202119,20.0,#505050
2021,202119,16.0,#505050
2021,202119,7.0,#FF9800
2021,202119,10.0,#006F62
2021,202120,1.0,#00D2BE
2021,202120,2.0,#0600EF
2021,202120,19.0,#0090FF
2021,202120,5.0,#0600EF
2021,202120,13.0,#0090FF
2021,202120,10.0,#006F62
2021,202120,8.0,#DC0004
2021,202120,6.0,#DC0004
2021,202120,4.0,#FF9800
2021,202120,15.0,#006F62
2021,202120,17.0,#2B4562
2021,202120,7.0,#FF9800
2021,202120,9.0,#2B4562
2021,202120,11.0,#900000
2021,202120,12.0,#900000
2021,202120,16.0,#505050
2021,202120,14.0,#005AFF
2021,202120,20.0,#505050
2021,202120,18.0,#005AFF
2021,202120,3.0,#00D2BE
2021,202121,1.0,#00D2BE
2021,202121,2.0,#0600EF
2021,202121,3.0,#00D2BE
2021,202121,13.0,#0090FF
2021,202121,7.0,#FF9800
2021,202121,17.0,#2B4562
2021,202121,6.0,#DC0004
2021,202121,8.0,#DC0004
2021,202121,12.0,#900000
2021,202121,4.0,#FF9800
2021,202121,10.0,#006F62
2021,202121,18.0,#005AFF
2021,202121,19.0,#0090FF
2021,202121,9.0,#2B4562
2021,202121,11.0,#900000
2021,202121,15.0,#006F62
2021,202121,5.0,#0600EF
2021,202121,20.0,#505050
2021,202121,14.0,#005AFF
2021,202121,16.0,#505050
2022,202201,6.0,#ed1c24
2022,202201,8.0,#ed1c24
2022,202201,1.0,#6cd3bf
2022,202201,14.0,#6cd3bf
2022,202201,22.0,#b6babd
2022,202201,3.0,#b12039
2022,202201,13.0,#2293d1
2022,202201,9.0,#4e7c9b
2022,202201,19.0,#2293d1
2022,202201,23.0,#b12039
2022,202201,16.0,#b6babd
2022,202201,10.0,#2d826d
2022,202201,24.0,#37bedd
2022,202201,7.0,#f58020
2022,202201,4.0,#f58020
2022,202201,18.0,#37bedd
2022,202201,25.0,#2d826d
2022,202201,5.0,#1e5bc6
2022,202201,2.0,#1e5bc6
2022,202201,17.0,#4e7c9b
2022,202202,2.0,#1e5bc6
2022,202202,6.0,#ed1c24
2022,202202,8.0,#ed1c24
2022,202202,5.0,#1e5bc6
2022,202202,14.0,#6cd3bf
2022,202202,13.0,#2293d1
2022,202202,4.0,#f58020
2022,202202,17.0,#4e7c9b
2022,202202,22.0,#b6babd
2022,202202,1.0,#6cd3bf
2022,202202,23.0,#b12039
2022,202202,25.0,#2d826d
2022,202202,10.0,#2d826d
2022,202202,24.0,#37bedd
2022,202202,3.0,#b12039
2022,202202,19.0,#2293d1
2022,202202,7.0,#f58020
2022,202202,18.0,#37bedd
2022,202202,9.0,#4e7c9b
2022,202202,16.0,#111111
2022,202203,6.0,#ed1c24
2022,202203,5.0,#1e5bc6
2022,202203,14.0,#6cd3bf
2022,202203,1.0,#6cd3bf
2022,202203,4.0,#f58020
2022,202203,7.0,#f58020
2022,202203,13.0,#2293d1
2022,202203,3.0,#b12039
2022,202203,17.0,#4e7c9b
2022,202203,24.0,#37bedd
2022,202203,23.0,#b12039
2022,202203,10.0,#2d826d
2022,202203,16.0,#b6babd
2022,202203,22.0,#b6babd
2022,202203,9.0,#4e7c9b
2022,202203,18.0,#37bedd
2022,202203,19.0,#2293d1
2022,202203,2.0,#1e5bc6
2022,202203,15.0,#2d826d
2022,202203,8.0,#ed1c24
2022,202204,2.0,#1e5bc6
2022,202204,5.0,#1e5bc6
2022,202204,4.0,#f58020
2022,202204,14.0,#6cd3bf
2022,202204,3.0,#b12039
2022,202204,6.0,#ed1c24
2022,202204,9.0,#4e7c9b
2022,202204,15.0,#2d826d
2022,202204,22.0,#b6babd
2022,202204,10.0,#2d826d
2022,202204,24.0,#37bedd
2022,202204,17.0,#4e7c9b
2022,202204,1.0,#6cd3bf
2022,202204,13.0,#2293d1
2022,202204,23.0,#b12039
2022,202204,18.0,#37bedd
2022,202204,16.0,#b6babd
2022,202204,7.0,#f58020
2022,202204,19.0,#2293d1
2022,202204,8.0,#ed1c24
2022,202205,2.0,#1e5bc6
2022,202205,6.0,#ed1c24
2022,202205,8.0,#ed1c24
2022,202205,5.0,#1e5bc6
2022,202205,14.0,#6cd3bf
2022,202205,1.0,#6cd3bf
2022,202205,3.0,#b12039
2022,202205,13.0,#2293d1
2022,202205,24.0,#37bedd
2022,202205,10.0,#2d826d
2022,202205,19.0,#2293d1
2022,202205,9.0,#4e7c9b
2022,202205,7.0,#f58020
2022,202205,18.0,#37bedd
2022,202205,16.0,#b6babd
2022,202205,22.0,#b6babd
2022,202205,15.0,#2d826d
2022,202205,17.0,#4e7c9b
2022,202205,4.0,#f58020
2022,202205,23.0,#b12039
2022,202206,2.0,#1e5bc6
2022,202206,5.0,#1e5bc6
2022,202206,14.0,#6cd3bf
2022,202206,8.0,#ed1c24
2022,202206,1.0,#6cd3bf
2022,202206,3.0,#b12039
2022,202206,13.0,#2293d1
2022,202206,4.0,#f58020
2022,202206,19.0,#2293d1
2022,202206,9.0,#4e7c9b
2022,202206,15.0,#2d826d
2022,202206,7.0,#f58020
2022,202206,17.0,#4e7c9b
2022,202206,16.0,#b6babd
2022,202206,10.0,#2d826d
2022,202206,18.0,#37bedd
2022,202206,22.0,#b6babd
2022,202206,24.0,#37bedd
2022,202206,23.0,#b12039
2022,202206,6.0,#ed1c24
2022,202207,5.0,#1e5bc6
2022,202207,8.0,#ed1c24
2022,202207,2.0,#1e5bc6
2022,202207,6.0,#ed1c24
2022,202207,14.0,#6cd3bf
2022,202207,4.0,#f58020
2022,202207,19.0,#2293d1
2022,202207,1.0,#6cd3bf
2022,202207,3.0,#b12039
2022,202207,15.0,#2d826d
2022,202207,17.0,#4e7c9b
2022,202207,13.0,#2293d1
2022,202207,7.0,#f58020
2022,202207,10.0,#2d826d
2022,202207,18.0,#37bedd
2022,202207,23.0,#b12039
2022,202207,9.0,#4e7c9b
2022,202207,24.0,#37bedd
2022,202207,16.0,#b6babd
2022,202207,22.0,#b6babd
2022,202208,2.0,#1e5bc6
2022,202208,5.0,#1e5bc6
2022,202208,14.0,#6cd3bf
2022,202208,1.0,#6cd3bf
2022,202208,17.0,#4e7c9b
2022,202208,15.0,#2d826d
2022,202208,19.0,#2293d1
2022,202208,7.0,#f58020
2022,202208,4.0,#f58020
2022,202208,13.0,#2293d1
2022,202208,3.0,#b12039
2022,202208,24.0,#37bedd
